n g	-8.700116604091257
nzo	-15.208365178843998
-ow	-13.573847582012874
  c	-10.27423388748469
py 	-10.77058102293875
-pn	-19.35149990523553
ipn	-19.35149990523553
ebb	-13.77177007924931
pys	-16.21600568930638
dns	-17.96520554411564
ufi	-16.132624080367332
umo	-13.037951858958436
ipt	-12.045639872551522
oba	-9.240673032930161
pkk	-14.239512116878988
r-k	-16.055663039231202
pm-	-18.25288761656742
pq 	-19.35149990523553
tcy	-13.678176638064038
odl	-14.431518979407407
vov	-16.173446074887586
htm	-13.930964905963245
hdr	-11.06196042061139
dyi	-12.408377482416103
sfs	-17.048914812241485
yny	-16.953604632437163
lyy	-19.35149990523553
jre	-19.35149990523553
lch	-13.60849671742605
b--	-15.161845163209106
akr	-15.381207991683409
c-r	-14.840640398718682
 km	-13.513769458069593
hru	-12.829407107065379
erq	-17.559740436007477
gtp	-17.742061992801432
hwo	-13.753077946237156
ons	-6.13189004205964
ers	-6.744335032051049
lo-	-14.347553599290073
thp	-14.483965454779948
riu	-12.01001605287237
mew	-9.261532785756785
yka	-18.25288761656742
ewc	-14.2825957030153
s-v	-16.461128147339366
aqs	-14.083641746172203
-hy	-17.154275327899313
est	-6.8599137869671
ax-	-13.806322460755968
avk	-17.40558975618022
kax	-18.658352724675588
lm 	-11.436516899387136
bt-	-15.917512700750386
brk	-18.658352724675588
irs	-8.150945458647511
uto	-10.44429371027005
cre	-7.911575333149793
uhn	-13.846168369303168
vde	-19.35149990523553
aho	-14.02362373644595
fne	-14.589325970437775
t w	-6.552738739660795
 bp	-15.917512700750386
pom	-13.688539425099584
eef	-11.751597946027033
myk	-17.559740436007477
 qa	-14.053182538687494
oku	-17.96520554411564
aso	-9.076759189261429
idg	-12.17601019161131
e p	-6.247278095451167
mza	-17.742061992801432
llu	-10.334987030239505
tev	-11.241673629217054
neu	-11.334852028177728
-sw	-15.796151843746118
k-v	-17.96520554411564
k-d	-15.088820028194217
fof	-19.35149990523553
bhi	-17.96520554411564
ftp	-15.208365178843998
ja 	-13.39307521220575
yxo	-19.35149990523553
itf	-12.649539539232991
kut	-16.64344970413332
esc	-10.170485362641177
ogl	-14.109752890175889
vik	-14.707109006094159
pum	-14.169716354943446
rih	-15.917512700750386
x-f	-14.491687500873859
caz	-15.885764002435804
mpt	-9.487689169852302
-sq	-16.35576763168154
jec	-8.119373587817678
w h	-10.238992893608112
zsv	-17.742061992801432
eaf	-11.63103821063581
gxx	-18.25288761656742
mau	-12.77224869322543
npt	-14.641969703923198
ofb	-18.658352724675588
ej 	-16.01929539506033
ndt	-13.014674174089091
prp	-18.25288761656742
eye	-10.982342792646698
so 	-7.016888936732155
ra 	-10.225628689885799
po-	-17.272058363555697
y-g	-12.27484608979158
gcu	-18.25288761656742
